exp_id,date,model,feature_set,n_windows,val_days,what_changed,prev_val,new_val,reg_lambda,max_depth,min_child_weight,subsample,colsample_bytree,num_leaves,lr,mean_ic,std_ic,mean_exret,predicted_direction,predicted_reason,actual_direction,insight
E01,4月25日,xgb,23tech,5,21,baseline,-,-,1,5,10,0.8,0.8,-,0.05,0.0135,0.063,,?,baseline,?,Winsorize+行业中性化后的起点
E02,4月25日,xgb,23tech,5,21,reg_lambda+subsample,λ=1/sub=0.8,λ=5/sub=0.6,5,5,20,0.6,0.6,-,0.05,0.0151,0.064,,↑,降采样率减少过拟合,↑,subsample 0.6>0.8；depth=3太浅不如5
E03,4月25日,xgb,23tech,5,21,+7新特征,20feat,23feat,5,5,20,0.6,0.6,-,0.05,0.017,0.028,,↑,MACD/BB/52w高低提供额外信号,↑,Std从0.063降到0.028；W2/W3负IC收窄
E04,4月26日,xgb,27(+PE/PB),5,21,#NAME?,23feat,27feat,5,5,20,0.6,0.6,-,0.05,0.0189,0.058,,↑,价值因子在A股有效,↑,迄今XGBoost最优
E05,4月26日,xgb,25(只PB),5,21,去掉PE,27feat,25feat,5,5,20,0.6,0.6,-,0.05,0.0082,0.077,,~,PB单独也有价值因子效果,↓,PE能区分亏损股；PE+PB互补不可拆
E06,4月26日,xgb,29(+Amihud),5,21,#NAME?,27feat,29feat,5,5,20,0.6,0.6,-,0.05,0.0096,0.067,,↑,低流动性溢价在A股存在,↓,与市值高度相关；放水行情大盘股领涨反而拖累
E07,4月26日,xgb,29(+ROE),5,21,#NAME?,27feat,29feat,5,5,20,0.6,0.6,-,0.05,-0.0083,0.052,,↑,基本面盈利能力是alpha,↓,NaN率35%；丢失训练数据>信息增益
E08,4月29日,lgbm,27(+PE/PB),5,21,换模型+num_leaves=31,xgb,lgbm_31,5,5,20,0.6,0.6,31,0.05,0.0141,,,?,LightGBM理论上更强,?,num_leaves=31在499截面过拟合
E09,4月29日,lgbm,27(+PE/PB),5,21,num_leaves,31,8,5,5,20,0.6,0.6,8,0.05,0.015,,,↑,8叶更适合499截面,↑,8是甜点；默认31过拟合
E10,4月29日,lgbm,31(+margin),5,21,#NAME?,27feat,31feat,5,5,20,0.6,0.6,8,0.05,0.0162,,,↑,融资行为有预测信号,↑(微),CV轻微提升但实盘-2.08%超额；margin偏向高杠杆股
E11,4月30日,xgb,31,5,21,reg_lambda,?,0.1,0.1,5,20,0.6,0.6,-,0.05,0.0111,0.0734,-1.28%,,,?,lambda扫描起点
E12,4月30日,xgb,31,5,21,reg_lambda,0.1,0.5,0.5,5,20,0.6,0.6,-,0.05,0.0135,0.0774,-0.53%,,,↑,
E13,4月30日,xgb,31,5,21,reg_lambda,0.5,1,1,5,20,0.6,0.6,-,0.05,0.0118,0.0729,-0.88%,,,↓,
E14,4月30日,xgb,31,5,21,reg_lambda,1,2,2,5,20,0.6,0.6,-,0.05,0.0114,0.0727,0.29%,,,↓IC↑ExRet,IC和ExRet开始分裂
E15,4月30日,xgb,31,5,21,reg_lambda,2,5,5,5,20,0.6,0.6,-,0.05,0.007,0.0768,0.35%,↑(微)→↓,λ=1→5时IC升明显说明过拟合；边际效益递减,↓IC↑ExRet,ExRet最优点在λ=5；IC最优点在λ=10；两者矛盾
E16,4月30日,xgb,31,5,21,reg_lambda,5,10,10,5,20,0.6,0.6,-,0.05,0.0162,0.0767,-0.87%,,,↑IC↓ExRet,IC最优但ExRet转负
E17,4月30日,xgb,31,5,21,reg_lambda,10,20,20,5,20,0.6,0.6,-,0.05,0.0098,0.071,-1.74%,,,↓,过正则；两个指标均下降
E18,4月30日,xgb,31,5,21,max_depth,?,3,10,3,20,0.6,0.6,-,0.05,-0.012,0.0508,-0.82%,,,?,depth扫描起点
E19,4月30日,xgb,31,5,21,max_depth,3,4,10,4,20,0.6,0.6,-,0.05,0.0143,0.0839,-1.19%,,,↑,
E20,4月30日,xgb,31,5,21,max_depth,4,5,10,5,20,0.6,0.6,-,0.05,0.0162,0.0767,-0.87%,,,↑,
E21,4月30日,xgb,31,5,21,max_depth,5,6,10,6,20,0.6,0.6,-,0.05,0.0198,0.0756,-1.04%,,,↑IC↓ExRet,
E22,4月30日,xgb,31,5,21,max_depth,6,7,10,7,20,0.6,0.6,-,0.05,0.0228,0.0596,-0.17%,,,↑,ExRet最优点；IC继续升但ExRet开始收敛
E23,4月30日,xgb,31,5,21,max_depth,7,8,10,8,20,0.6,0.6,-,0.05,0.0259,0.05,-0.95%,↓(过拟合),过拟合→减小深度，预测左侧最优,↑IC↓ExRet,预测错误：λ=10的强正则已控制过拟合；允许更深树；IC最优点在8但ExRet-0.95%
E24,4月30日,xgb,31,5,21,max_depth,8,10,10,10,20,0.6,0.6,-,0.05,0.023,0.0344,-1.73%,,,↓,过深；两指标均下降；确认顶点在8
E25,5月2日,xgb,31,5,21,min_child_weight(扫描起点),?,50,10,8,50,0.6,0.6,-,0.05,0.0239,0.0522,0.55%,震荡然后减少,mcw越高约束越强模型越保守,?,mcw=50时IC/ExRet中等；限制太多树无法发挥depth=8的容量
